3107
8883
12903
13271
15444
15834
18252
20162
31260
89110
129649
133349
155289
159189
183459
202773
23718
23718
40449
40832
47357
238333
238333
406128
409958
475339
Len + 47357; Len -  124952; ratio 2.638511730050468
Epoch 19, Batch 2540 | Acc: 0.8952 | PosAcc: 0.8708 | NegAcc: 0.9050
Epoch 19, Batch 2560 | Acc: 0.8954 | PosAcc: 0.8711 | NegAcc: 0.9051
Epoch 19, Batch 2580 | Acc: 0.8953 | PosAcc: 0.8708 | NegAcc: 0.9051
Epoch 19, Batch 2600 | Acc: 0.8951 | PosAcc: 0.8707 | NegAcc: 0.9049
Epoch 19, Batch 2620 | Acc: 0.8951 | PosAcc: 0.8708 | NegAcc: 0.9048
Epoch 19, Batch 2640 | Acc: 0.8954 | PosAcc: 0.8713 | NegAcc: 0.9050
Epoch 19, Batch 2660 | Acc: 0.8953 | PosAcc: 0.8712 | NegAcc: 0.9050
Epoch 19, Batch 2680 | Acc: 0.8955 | PosAcc: 0.8714 | NegAcc: 0.9052
Epoch 19, Batch 2700 | Acc: 0.8958 | PosAcc: 0.8721 | NegAcc: 0.9052
Epoch 19, Batch 2720 | Acc: 0.8962 | PosAcc: 0.8727 | NegAcc: 0.9057
Epoch 19, Batch 2740 | Acc: 0.8960 | PosAcc: 0.8724 | NegAcc: 0.9054
Epoch 19, Batch 2760 | Acc: 0.8959 | PosAcc: 0.8727 | NegAcc: 0.9052
Epoch 19, Batch 2780 | Acc: 0.8957 | PosAcc: 0.8730 | NegAcc: 0.9048
Epoch 19, Batch 2800 | Acc: 0.8956 | PosAcc: 0.8729 | NegAcc: 0.9047
Epoch 19, Batch 2820 | Acc: 0.8959 | PosAcc: 0.8734 | NegAcc: 0.9050
Epoch 19, Batch 2840 | Acc: 0.8959 | PosAcc: nan | NegAcc: 0.9050
Epoch 19, Batch 2860 | Acc: 0.8958 | PosAcc: 0.8733 | NegAcc: 0.9048
Epoch 19, Batch 2880 | Acc: 0.8959 | PosAcc: 0.8733 | NegAcc: 0.9049
Epoch 19, Batch 2900 | Acc: 0.8961 | PosAcc: 0.8737 | NegAcc: 0.9051
Epoch 19, Batch 2920 | Acc: 0.8959 | PosAcc: 0.8738 | NegAcc: 0.9048
Epoch 19, Batch 2940 | Acc: 0.8957 | PosAcc: 0.8734 | NegAcc: 0.9047
Epoch 19, Batch 2960 | Acc: 0.8957 | PosAcc: 0.8734 | NegAcc: 0.9047
Epoch 19, Batch 2980 | Acc: 0.8958 | PosAcc: 0.8735 | NegAcc: 0.9048
Epoch 19, Batch 3000 | Acc: 0.8961 | PosAcc: 0.8739 | NegAcc: 0.9051
Epoch 19, Batch 3020 | Acc: 0.8958 | PosAcc: 0.8733 | NegAcc: 0.9049
Epoch 19, Batch 3040 | Acc: 0.8959 | PosAcc: 0.8733 | NegAcc: 0.9050
Epoch 19, Batch 3060 | Acc: 0.8958 | PosAcc: 0.8735 | NegAcc: 0.9048
Epoch 19, Batch 3080 | Acc: 0.8959 | PosAcc: 0.8739 | NegAcc: 0.9047
Epoch 19, Batch 3100 | Acc: 0.8958 | PosAcc: 0.8739 | NegAcc: 0.9046
Epoch 19, Batch 3120 | Acc: 0.8960 | PosAcc: nan | NegAcc: 0.9047
Epoch 19, Batch 3140 | Acc: 0.8961 | PosAcc: 0.8740 | NegAcc: 0.9050
Epoch 19, Batch 3160 | Acc: 0.8960 | PosAcc: 0.8740 | NegAcc: 0.9048
Epoch 19, Batch 3180 | Acc: 0.8960 | PosAcc: 0.8740 | NegAcc: 0.9048
Epoch 19, Batch 3200 | Acc: 0.8961 | PosAcc: 0.8745 | NegAcc: 0.9047
Epoch 19, Batch 3220 | Acc: 0.8964 | PosAcc: 0.8751 | NegAcc: 0.9050
Epoch 19, Batch 3240 | Acc: 0.8965 | PosAcc: 0.8752 | NegAcc: 0.9050
Epoch 19, Batch 3260 | Acc: 0.8967 | PosAcc: 0.8754 | NegAcc: 0.9052
Epoch 19, Batch 3280 | Acc: 0.8969 | PosAcc: 0.8756 | NegAcc: 0.9054
Epoch 19, Batch 3300 | Acc: 0.8967 | PosAcc: 0.8750 | NegAcc: 0.9054
Epoch 19, Batch 3320 | Acc: 0.8962 | PosAcc: 0.8751 | NegAcc: 0.9046
Epoch 19, Batch 3340 | Acc: 0.8963 | PosAcc: 0.8751 | NegAcc: 0.9048
Epoch 19, Batch 3360 | Acc: 0.8963 | PosAcc: 0.8749 | NegAcc: 0.9049
Epoch 19, Batch 3380 | Acc: 0.8964 | PosAcc: 0.8748 | NegAcc: 0.9051
Epoch 19, Batch 3400 | Acc: 0.8964 | PosAcc: nan | NegAcc: 0.9050
Epoch 19, Batch 3420 | Acc: 0.8966 | PosAcc: 0.8748 | NegAcc: 0.9053
Epoch 19, Batch 3440 | Acc: 0.8967 | PosAcc: 0.8750 | NegAcc: 0.9053
Epoch 19, Batch 3460 | Acc: 0.8964 | PosAcc: 0.8747 | NegAcc: 0.9051
Epoch 19, Batch 3480 | Acc: 0.8964 | PosAcc: 0.8749 | NegAcc: 0.9050
Epoch 19, Batch 3500 | Acc: 0.8962 | PosAcc: 0.8747 | NegAcc: 0.9048
Epoch 19, Batch 3520 | Acc: 0.8963 | PosAcc: 0.8748 | NegAcc: 0.9049
Epoch 19, Batch 3540 | Acc: 0.8961 | PosAcc: 0.8746 | NegAcc: 0.9046
Epoch 19, Batch 3560 | Acc: 0.8959 | PosAcc: 0.8744 | NegAcc: 0.9045
Epoch 19, Batch 3580 | Acc: 0.8958 | PosAcc: 0.8742 | NegAcc: 0.9044
Epoch 19, Batch 3600 | Acc: 0.8959 | PosAcc: 0.8743 | NegAcc: 0.9045
Epoch 19, Batch 3620 | Acc: 0.8959 | PosAcc: 0.8743 | NegAcc: 0.9045
Epoch 19, Batch 3640 | Acc: 0.8958 | PosAcc: 0.8745 | NegAcc: 0.9044
Epoch 19, Batch 3660 | Acc: 0.8958 | PosAcc: 0.8744 | NegAcc: 0.9043
Epoch 19, Batch 3680 | Acc: 0.8957 | PosAcc: 0.8743 | NegAcc: 0.9043
Epoch 19, Batch 3700 | Acc: 0.8956 | PosAcc: 0.8742 | NegAcc: 0.9041
Epoch 19, Batch 3720 | Acc: 0.8957 | PosAcc: 0.8746 | NegAcc: 0.9041
Epoch 19, Batch 3740 | Acc: 0.8955 | PosAcc: 0.8745 | NegAcc: 0.9039
Epoch 19, Batch 3760 | Acc: 0.8953 | PosAcc: nan | NegAcc: 0.9037
Epoch 19, Batch 3780 | Acc: 0.8954 | PosAcc: 0.8744 | NegAcc: 0.9038
Epoch 19, Batch 3800 | Acc: 0.8954 | PosAcc: 0.8744 | NegAcc: 0.9038
Epoch 19, Batch 3820 | Acc: 0.8957 | PosAcc: 0.8748 | NegAcc: 0.9040
Epoch 19, Batch 3840 | Acc: 0.8958 | PosAcc: 0.8746 | NegAcc: 0.9042
Epoch 19, Batch 3860 | Acc: 0.8958 | PosAcc: 0.8746 | NegAcc: 0.9042
Epoch 19, Batch 3880 | Acc: 0.8960 | PosAcc: 0.8752 | NegAcc: 0.9043
Epoch 19, Batch 3900 | Acc: 0.8959 | PosAcc: 0.8748 | NegAcc: 0.9044
Epoch 19, Batch 3920 | Acc: 0.8959 | PosAcc: 0.8748 | NegAcc: 0.9043
Epoch 19, Batch 3940 | Acc: 0.8958 | PosAcc: 0.8748 | NegAcc: 0.9042
Epoch 19, Batch 3960 | Acc: 0.8955 | PosAcc: 0.8748 | NegAcc: 0.9038
Epoch 19, Batch 3980 | Acc: 0.8956 | PosAcc: 0.8750 | NegAcc: 0.9038
Epoch 19, Batch 4000 | Acc: 0.8958 | PosAcc: 0.8753 | NegAcc: 0.9040
Epoch 19, Batch 4020 | Acc: 0.8957 | PosAcc: 0.8753 | NegAcc: 0.9039
Epoch 19, Batch 4040 | Acc: 0.8958 | PosAcc: 0.8754 | NegAcc: 0.9040
Epoch 19, Batch 4060 | Acc: 0.8960 | PosAcc: 0.8756 | NegAcc: 0.9042
Epoch 19, Batch 4080 | Acc: 0.8960 | PosAcc: 0.8754 | NegAcc: 0.9042
Epoch 19, Batch 4100 | Acc: 0.8959 | PosAcc: 0.8752 | NegAcc: 0.9042
Epoch 19, Batch 4120 | Acc: 0.8959 | PosAcc: 0.8752 | NegAcc: 0.9041
Epoch 19, Batch 4140 | Acc: 0.8956 | PosAcc: 0.8747 | NegAcc: 0.9040
Epoch 19, Batch 4160 | Acc: 0.8956 | PosAcc: 0.8745 | NegAcc: 0.9040
Epoch 19, Batch 4180 | Acc: 0.8955 | PosAcc: 0.8747 | NegAcc: 0.9038
Epoch 19, Batch 4200 | Acc: 0.8956 | PosAcc: 0.8749 | NegAcc: 0.9039
Epoch 19, Batch 4220 | Acc: 0.8956 | PosAcc: 0.8746 | NegAcc: 0.9039
Epoch 19, Batch 4240 | Acc: 0.8956 | PosAcc: 0.8748 | NegAcc: 0.9039
Epoch 19, Batch 4260 | Acc: 0.8954 | PosAcc: 0.8748 | NegAcc: 0.9037
Epoch 19, Batch 4280 | Acc: 0.8954 | PosAcc: 0.8743 | NegAcc: 0.9038
Epoch 19, Batch 4300 | Acc: 0.8954 | PosAcc: 0.8741 | NegAcc: 0.9039
Epoch 19, Batch 4320 | Acc: 0.8955 | PosAcc: nan | NegAcc: 0.9039
Epoch 19, Batch 4340 | Acc: 0.8956 | PosAcc: 0.8745 | NegAcc: 0.9041
Epoch 19, Batch 4360 | Acc: 0.8955 | PosAcc: 0.8744 | NegAcc: 0.9039
Epoch 19, Batch 4380 | Acc: 0.8953 | PosAcc: 0.8743 | NegAcc: 0.9037
Epoch 19, Batch 4400 | Acc: 0.8954 | PosAcc: 0.8742 | NegAcc: 0.9039
Epoch 19, Batch 4420 | Acc: 0.8953 | PosAcc: 0.8741 | NegAcc: 0.9038
Epoch 19, Batch 4440 | Acc: 0.8952 | PosAcc: 0.8742 | NegAcc: 0.9036
Epoch 19, Batch 4460 | Acc: 0.8951 | PosAcc: 0.8739 | NegAcc: 0.9036
Epoch 19, Batch 4480 | Acc: 0.8950 | PosAcc: nan | NegAcc: 0.9035
Epoch 19, Batch 4500 | Acc: 0.8950 | PosAcc: 0.8741 | NegAcc: 0.9034
Epoch 19, Batch 4520 | Acc: 0.8950 | PosAcc: 0.8739 | NegAcc: 0.9035
Epoch 19, Batch 4540 | Acc: 0.8950 | PosAcc: 0.8737 | NegAcc: 0.9036
Epoch 19, Batch 4560 | Acc: 0.8951 | PosAcc: 0.8737 | NegAcc: 0.9037
Epoch 19, Batch 4580 | Acc: 0.8951 | PosAcc: 0.8735 | NegAcc: 0.9037
	train_accuracy: 0.8951836734693878
	pos train_accuracy: 0.8737142857142857
	neg train_accuracy: 0.9037714285714286
Epoch 19, Batch 20 | Val Acc: 0.8438 | Val PosAcc: 0.9286 | Val NegAcc: 0.8136
Epoch 19, Batch 40 | Val Acc: 0.8250 | Val PosAcc: 0.9412 | Val NegAcc: 0.7830
Epoch 19, Batch 60 | Val Acc: 0.8167 | Val PosAcc: nan | Val NegAcc: 0.7771
Epoch 19, Batch 80 | Val Acc: 0.8063 | Val PosAcc: 0.9172 | Val NegAcc: 0.7665
Epoch 19, Batch 100 | Val Acc: 0.8150 | Val PosAcc: 0.9198 | Val NegAcc: 0.7772
Epoch 19, Batch 120 | Val Acc: 0.8187 | Val PosAcc: 0.9173 | Val NegAcc: 0.7833
Epoch 19, Batch 140 | Val Acc: 0.8277 | Val PosAcc: 0.9238 | Val NegAcc: 0.7922
Epoch 19, Batch 160 | Val Acc: 0.8281 | Val PosAcc: 0.9242 | Val NegAcc: 0.7930
Epoch 19, Batch 180 | Val Acc: 0.8271 | Val PosAcc: 0.9264 | Val NegAcc: 0.7897
Epoch 19, Batch 200 | Val Acc: 0.8244 | Val PosAcc: 0.9274 | Val NegAcc: 0.7852
Epoch 19, Batch 220 | Val Acc: 0.8216 | Val PosAcc: 0.9223 | Val NegAcc: 0.7828
Epoch 19, Batch 240 | Val Acc: 0.8234 | Val PosAcc: 0.9191 | Val NegAcc: 0.7856
Epoch 19, Batch 260 | Val Acc: 0.8216 | Val PosAcc: 0.9158 | Val NegAcc: 0.7850
Epoch 19, Batch 280 | Val Acc: 0.8237 | Val PosAcc: 0.9145 | Val NegAcc: 0.7889
